,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,ERCOT,FPL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYISO,NWMT,OVEC,PJM,AEC,PNM,SEC,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW
0,0,3075,81,296,11267,6716,6493,595,0,38397,15856,0,15595,1648,4024,74304,0,19586,1613,0,94016,462,1822,59,2287,0,24248,32031,64,2651,16402,3554,117
1,0,3113,76,287,10811,6317,6236,575,0,40387,14553,0,14829,1648,3971,73391,0,18891,1700,0,90385,463,1971,150,2276,0,23673,32422,67,2482,16079,3710,123
2,0,3033,68,276,10287,5838,5941,531,0,39769,13322,0,14119,1606,3900,71531,0,18198,1689,0,86724,460,1998,168,2239,0,22860,32066,66,2292,15438,3659,120
3,0,2948,62,261,9796,5409,5673,507,0,39016,12400,0,13481,1505,3745,69562,0,17423,1664,0,82978,438,1950,151,2163,0,21851,31716,63,2097,14967,3579,117
4,0,2935,56,246,9294,4996,5357,479,0,38473,11456,0,12795,1407,3542,67744,0,16613,1642,0,79536,415,1917,185,2056,0,20930,31283,66,1932,14381,3485,113
5,0,2852,59,232,8804,4637,5051,448,0,37829,10309,0,12132,1301,3332,65652,0,15774,1614,0,76608,383,1862,230,1944,0,19980,30820,68,1812,13865,3375,118
6,0,2804,50,220,8376,4314,4779,430,0,37301,10799,0,11614,1016,2886,64400,36,15053,1581,0,73926,353,1779,250,1782,0,19395,30320,58,1717,13399,3285,109
7,0,2779,49,212,8040,4072,4583,414,0,36953,10279,0,11497,970,2816,63181,34,14481,1545,0,72062,361,1713,239,1738,0,18688,29962,65,1636,12930,3183,107
8,0,2789,47,204,7750,3770,4407,398,0,37114,9678,0,11369,917,2760,62090,31,13927,0,0,70756,344,1648,201,1688,0,18388,29881,53,1546,12578,3105,103
9,0,2772,43,198,7591,3571,4263,389,0,37154,9240,0,11270,881,2756,61266,29,13566,0,0,69515,326,1608,187,1689,0,17904,29797,68,1464,12415,3037,103
10,0,2787,42,196,7554,3474,4263,398,0,37290,8981,0,11310,873,2805,61045,28,13353,0,0,68853,318,1594,172,1733,0,17721,29845,58,1435,12374,3007,104
11,0,2849,41,199,7689,3484,4317,408,0,37839,8958,0,11516,891,2863,61307,28,13475,0,0,68963,324,1590,176,1761,0,17737,30109,61,1445,12562,3014,102
12,0,2953,40,205,7971,3617,4440,430,0,38789,9114,0,11849,920,2960,62048,30,13846,0,0,69854,320,1594,172,1828,0,17833,30626,61,1477,12874,3036,103
13,0,3043,39,207,8210,3715,4511,457,0,39875,9427,0,11539,942,3037,63538,30,14199,0,0,70903,334,1618,168,1944,0,17781,31254,64,1494,13373,3076,104
14,0,3138,44,216,8512,4123,4672,486,0,40423,10552,0,11729,1000,3146,64632,37,14570,0,0,72179,345,1651,185,1975,0,18167,31756,65,1628,13672,3120,106
15,0,3241,52,234,8989,4723,5053,526,0,40910,12388,0,12187,1095,3235,65834,44,15172,0,0,74696,375,1682,119,2067,0,19276,31980,61,1843,14219,3178,109
16,0,3371,59,258,9425,5312,5302,549,0,41689,13863,0,12331,1194,3351,67618,47,15796,0,0,77250,413,1705,121,2088,0,20392,32502,71,2064,14801,3228,111
17,0,3445,63,279,9673,5797,5441,553,0,42151,14951,0,12149,1279,3416,68974,53,16202,0,0,78965,440,1742,147,2096,0,21266,32940,63,2255,15135,3301,108
