name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
BUCKSPORT,ngcc,bus_188,298.4,5.21705561775,56.38,4,895.1999999999999,20888.0,98.472,12,12
YARMOUTH,oil,bus_188,846.0,6.549625,309.3,8,2538.0,59220.0,846.0,1,1
MADISON,ngcc,bus_188,31.98,0.0,8.75,4,95.94,2238.6,10.5534,12,12
RUMFORD,ngcc,bus_188,434.1200000000002,3.048483422,148.42,4,1302.3600000000006,30388.400000000012,143.25960000000006,12,12
SOUTHPORTLAND,oil,bus_188,35.0,0.525,11.66,8,105.0,2450.0,35.0,1,1
BANGOR,ngcc,bus_188,550.2,4.174419040666667,197.92,4,1650.6000000000001,38514.0,181.56600000000003,12,12
SEARSMONT,oil,bus_188,2.0,0.0655,0.84,8,6.0,140.0,2.0,1,1
WESTBROOK,ngcc,bus_188,563.91,6.529590712666668,168.11,4,1691.73,39473.7,186.09029999999998,12,12
PORTSMOUTH,oil,bus_188,21.2,0.68,8.54,8,63.599999999999994,1484.0,21.2,1,1
PRESQUEISLE,oil,bus_56,6.0,0.054000000000000006,1.41,8,18.0,420.0,6.0,1,1
EASTPORT,oil,bus_56,2.0,0.0675,0.92,8,6.0,140.0,2.0,1,1
MEDWAY,oil,bus_56,11.200000000000005,0.0,3.1100000000000003,8,33.600000000000016,784.0000000000003,11.200000000000005,1,1
CARIBOU,oil,bus_56,26.58,0.133,8.85,8,79.74,1860.6,26.58,1,1
MIRRORLAKE,oil,bus_479,18.0,0.4835,4.11,8,54.0,1260.0,18.0,1,1
TAMWORTH,oil,bus_479,18.6,0.5095,4.58,8,55.800000000000004,1302.0,18.6,1,1
PLYMOUTH,oil,bus_479,2.8,0.04625,1.21,8,8.399999999999999,196.0,2.8,1,1
PORTSMOUTH_2,oil,bus_4238,1119.49,5.1520396195,260.39,8,3358.4700000000003,78364.3,1119.49,1,1
CONCORD,coal,bus_4238,479.9,2.2040436416666664,195.71,4,1439.6999999999998,33593.0,158.367,12,12
HAMPTON,oil,bus_4238,8.78,0.010642857142857143,2.62,8,26.339999999999996,614.5999999999999,8.78,1,1
LONDONDERRY,ngcc,bus_4238,789.99,7.463930807666667,328.8400000000001,4,2369.9700000000003,55299.3,260.6967,12,12
PEABODY,ngcc,bus_4238,71.59,4.651755984599999,22.5,4,214.77,5011.3,23.6247,12,12
MARBLEHEAD,oil,bus_4238,7.800000000000002,0.03625,1.63,8,23.400000000000006,546.0000000000001,7.800000000000002,1,1
BOSTON,ngcc,bus_4238,192.30999999999997,1.494822588111111,56.45000000000001,4,576.93,13461.699999999999,63.46229999999999,12,12
SHREWSBURY,oil,bus_4238,14.0,0.08130000000000001,4.23,8,42.0,980.0,14.0,1,1
BELLINGHAM,ngcc,bus_4238,964.1,6.5285370854,341.47,4,2892.3,67487.0,318.153,12,12
HUDSON,oil,bus_4238,18.3,0.056722222222222216,4.8100000000000005,8,54.900000000000006,1281.0,18.3,1,1
CAMBRIDGE,ngcc,bus_4238,294.8,4.1997059383333335,56.68,4,884.4000000000001,20636.0,97.284,12,12
WELLESLEYHILLS,ngcc,bus_4238,7.199999999999998,0.0,2.14,4,21.599999999999994,503.9999999999999,2.3759999999999994,12,12
CHARLESTOWN,oil,bus_4238,2375.58,5.829464184875,843.03,8,7126.74,166290.6,2375.58,1,1
NORTHWEYMOUTH,ngcc,bus_4238,872.19,7.645708819333334,239.92,4,2616.57,61053.3,287.82270000000005,12,12
BRAINTREE,ngcc,bus_4238,217.0,4.93483324425,69.36,4,651.0,15190.0,71.61,12,12
BLACKSTONE,ngcc,bus_4238,578.0,7.576574950499999,128.74,4,1734.0,40460.0,190.74,12,12
FRAMINGHAM,oil,bus_4238,44.399999999999984,0.13722222222222225,11.56,8,133.19999999999996,3107.999999999999,44.399999999999984,1,1
REVERE,ngcc,bus_4238,5.8,4.583556069,1.46,4,17.4,406.0,1.914,12,12
WINTHROP,oil,bus_4238,52.0,0.665,9.67,8,156.0,3640.0,52.0,1,1
MEDWAY_3,oil,bus_4238,135.0,1.3173333333333337,41.74,8,405.0,9450.0,135.0,1,1
MILFORD,ngcc,bus_4238,178.0,5.2545404410000005,44.86,4,534.0,12460.0,58.74,12,12
HARRISVILLE,ngcc,bus_4238,508.38000000000005,5.215832458,168.78,4,1525.14,35586.600000000006,167.76540000000003,12,12
DAYVILLE,ngcc,bus_4238,840.0,4.914547191333334,216.72000000000003,4,2520.0,58800.0,277.2,12,12
HANOVER,oil,bus_2289,6.99,0.07316666666666667,2.66,8,20.97,489.3,6.99,1,1
FLORENCE,oil,bus_2289,9.2,0.13125,2.62,8,27.599999999999998,644.0,9.2,1,1
WESTCHARLESTON,oil,bus_2289,2.8,0.0,0.39,8,8.399999999999999,196.0,2.8,1,1
BARNARD,oil,bus_2289,13.2,0.342,2.6,8,39.599999999999994,924.0,13.2,1,1
RUTLAND,oil,bus_2289,13.2,0.3775,3.78,8,39.599999999999994,924.0,13.2,1,1
MIDDLETOWN,ngcc,bus_2289,41.9,4.826207321,18.38,4,125.69999999999999,2933.0,13.827,12,12
CORINTH,ngcc,bus_2289,205.98000000000008,5.045007374,49.16,4,617.9400000000003,14418.600000000006,67.97340000000003,12,12
SHERRILL,ngcc,bus_2289,64.2,4.7738511435,28.53,4,192.60000000000002,4494.0,21.186000000000003,12,12
COOPERSTOWN,oil,bus_2289,6.700000000000001,0.03108333333333333,1.7600000000000002,8,20.1,469.00000000000006,6.700000000000001,1,1
COLCHESTER,oil,bus_2049,18.0,0.5145,5.15,8,54.0,1260.0,18.0,1,1
BURLINGTON,oil,bus_2049,25.5,0.6970000000000001,6.24,8,76.5,1785.0,25.5,1,1
BARRE,oil,bus_2049,41.8,1.4055,18.98,8,125.39999999999999,2926.0,41.8,1,1
VERGENNES,oil,bus_2049,4.0,0.05,0.6799999999999999,8,12.0,280.0,4.0,1,1
